"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL1088752";"LOSMAPIMOD";"FTX-1821|FTX1821|GSK-AHAB|GSKAHAB|GW-856553|GW-856553X|GW856553|GW856553X|LOSMAPIMOD|Losmapimod";"Small molecule";"3.0";"383.47";"306";"358";"3.86";"71.09";"3";"2";"0";"5";"N";"0.82";"13.86";"2.60";"3.68";"3.68";"2";"MOL";"0";"28";"5";"2";"0";"383.2009";"-1.52";"NEUTRAL";"C22H26FN3O2";"Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1";"KKYABQBFGDZVNQ-UHFFFAOYSA-N";"InChI=1S/C22H26FN3O2/c1-13-17(9-15(10-18(13)23)21(28)26-16-6-7-16)19-8-5-14(11-24-19)20(27)25-12-22(2,3)4/h5,8-11,16H,6-7,12H2,1-4H3,(H,25,27)(H,26,28)";"False";"0";"['LOSMAPIMOD', '10, GW-856553', 'LOSMAPIMOD', 'Losmapimod', 'Losmapimod', '5818', 'LOSMAPIMOD', '2', 'Losmapimod', 'LOSMAPIMOD', 'LOSMAPIMOD', 'COVC-1209239941', 'Losmapimod', 'Losmapimod']";"['LOSMAPIMOD', 'Losmapimod', 'LOSMAPIMOD', 'Losmapimod', 'Losmapimod', None, 'LOSMAPIMOD', '6-{5-[(Cyclopropylamino)carbonyl]-3-fluoro-2-methylphenyl}-N-(2,2-dimethylpropyl)-3-pyridinecarboxamide', 'Losmapimod', 'LOSMAPIMOD', 'LOSMAPIMOD', 'LOSMAPIMOD', 'Losmapimod', 'Losmapimod']"
"CHEMBL5095241";"TUNLAMETINIB";"HL 085|HL-085|HL085|TUNLAMETINIB";"Small molecule";"2.0";"491.26";"None";"None";"3.58";"83.48";"6";"3";"0";"6";"N";"0.28";"10.13";"1.86";"4.60";"4.60";"3";"MOL";"0";"26";"6";"3";"0";"490.9612";"-1.46";"NEUTRAL";"C16H12F2IN3O3S";"O=C(NOCCO)c1cc2scnc2c(F)c1Nc1ccc(I)cc1F";"UFZJUVFSSINETF-UHFFFAOYSA-N";"InChI=1S/C16H12F2IN3O3S/c17-10-5-8(19)1-2-11(10)21-14-9(16(24)22-25-4-3-23)6-12-15(13(14)18)20-7-26-12/h1-2,5-7,21,23H,3-4H2,(H,22,24)";"False";"0";"['TUNLAMETINIB']";"['TUNLAMETINIB']"
"CHEMBL3188267";"CAPMATINIB";"CAPMATINIB|Capmatinib|INC-280|INC280|INCB-28060|INCB-28060 FREE BASE|NVP-INC280|NVP-INC280-NX|NYP-INC280-NX";"Small molecule";"4.0";"412.43";"290";"307";"3.43";"85.07";"6";"1";"0";"4";"N";"0.49";"12.77";"4.55";"2.96";"2.96";"5";"MOL";"0";"31";"7";"1";"0";"412.1448";"-1.54";"NEUTRAL";"C23H17FN6O";"CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F";"LIOLIMKSCNQPLV-UHFFFAOYSA-N";"InChI=1S/C23H17FN6O/c1-25-22(31)18-6-5-16(11-19(18)24)21-13-28-23-27-12-17(30(23)29-21)10-14-4-7-20-15(9-14)3-2-8-26-20/h2-9,11-13H,10H2,1H3,(H,25,31)";"False";"0";"['CAPMATINIB', 'INCB28060', 'SID174006562', 'Capmatinib', 'CAPMATINIB', 'CAPMATINIB', 'INCB28060', 'CAPMATINIB', 'CAPMATINIB (INCB28060)', 'Capmatinib (INCB28060)', 'Capmatinib (INCB28060)', 'COVC-0672980313', 'Capmatinib', 'CAPMATINIB', 'Capmatinib (INCB28060)', 'INCB28060', 'INCB28060']";"['CAPMATINIB', '2-fluoro-N-methyl-4-(7-(quinolin-6-ylmethyl)imidazo[1,2-b][1,2,4]triazin-2-yl)benzamide', 'SID174006562', 'Capmatinib', 'CAPMATINIB', 'CAPMATINIB', '2-fluoro-N-methyl-4-(7-(quinolin-6-ylmethyl)imidazo[1,2-b][1,2,4]triazin-2-yl)benzamide', 'CAPMATINIB', 'CAPMATINIB (INCB28060)', 'Capmatinib (INCB28060)', 'Capmatinib (INCB28060)', 'INC-280', 'Capmatinib', 'CAPMATINIB', 'Capmatinib (INCB28060)', '2-fluoro-N-methyl-4-{7-[(quinolin-6-yl)methyl]imidazo[1,2-b][1,2,4]triazin-2-yl}benzamide', 'Capmatinib']"
"CHEMBL5314585";"GAMCEMETINIB";"BMS-986371|CC-99677|GAMCEMETINIB";"Small molecule";"2.0";"469.95";"None";"None";"4.77";"98.26";"8";"2";"0";"5";"N";"0.41";"None";"0.84";"4.49";"4.49";"4";"MOL";"0";"32";"8";"2";"0";"469.0975";"-0.65";"NEUTRAL";"C22H20ClN5O3S";"CCOCc1cnc(Cl)nc1Oc1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1";"PYOQIOLRFIRRSO-LLVKDONJSA-N";"InChI=1S/C22H20ClN5O3S/c1-3-30-10-12-9-25-22(23)28-21(12)31-16-7-4-13-14(27-16)5-6-15-17(13)18-19(32-15)20(29)26-11(2)8-24-18/h4-7,9,11,24H,3,8,10H2,1-2H3,(H,26,29)/t11-/m1/s1";"False";"0";"['GAMCEMETINIB', 'GAMCEMETINIB', 'GAMCEMETINIB']";"['GAMCEMETINIB', 'GAMCEMETINIB', 'GAMCEMETINIB']"
"CHEMBL2104954";"BALAMAPIMOD";"BALAMAPIMOD|Balamapimod|MKI-833";"Small molecule";"2.0";"574.15";"None";"None";"6.46";"82.24";"9";"1";"2";"7";"N";"0.27";"None";"9.82";"5.39";"3.00";"4";"MOL";"0";"40";"8";"1";"2";"573.2078";"-1.70";"BASE";"C30H32ClN7OS";"COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1N1CCC(N2CCCC2)CC1";"CVAKNHIXTWLGJO-UHFFFAOYSA-N";"InChI=1S/C30H32ClN7OS/c1-36-14-9-33-30(36)40-28-6-5-21(15-24(28)31)35-29-20(18-32)19-34-25-17-26(27(39-2)16-23(25)29)38-12-7-22(8-13-38)37-10-3-4-11-37/h5-6,9,14-17,19,22H,3-4,7-8,10-13H2,1-2H3,(H,34,35)";"False";"0";"['BALAMAPIMOD', 'BALAMAPIMOD']";"['BALAMAPIMOD', 'BALAMAPIMOD']"
"CHEMBL4297190";"SURUFATINIB";"HMPL-012|SULFATINIB|SURUFATINIB";"Small molecule";"3.0";"480.59";"2";"6";"3.78";"112.24";"7";"3";"0";"10";"N";"0.32";"10.46";"7.50";"3.17";"2.82";"4";"MOL";"0";"34";"9";"3";"0";"480.1944";"-1.87";"NEUTRAL";"C24H28N6O3S";"Cc1cc2cc(Oc3ccnc(Nc4cccc(CS(=O)(=O)NCCN(C)C)c4)n3)ccc2[nH]1";"TTZSNFLLYPYKIL-UHFFFAOYSA-N";"InChI=1S/C24H28N6O3S/c1-17-13-19-15-21(7-8-22(19)27-17)33-23-9-10-25-24(29-23)28-20-6-4-5-18(14-20)16-34(31,32)26-11-12-30(2)3/h4-10,13-15,26-27H,11-12,16H2,1-3H3,(H,25,28,29)";"False";"0";"['SURUFATINIB', 'COVC-1760287043', 'SURUFATINIB', 'SURUFATINIB']";"['SURUFATINIB', 'SULFATINIB', 'SURUFATINIB', 'SURUFATINIB']"
"CHEMBL4297477";"BREPOCITINIB";"BREPOCITINIB|PF-06700841";"Small molecule";"3.0";"389.41";"4";"4";"1.79";"79.18";"7";"1";"0";"4";"N";"0.86";"10.91";"4.45";"1.55";"1.55";"2";"MOL";"0";"28";"8";"1";"0";"389.1776";"-1.50";"NEUTRAL";"C18H21F2N7O";"Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1";"BUWBRTXGQRBBHG-MJBXVCDLSA-N";"InChI=1S/C18H21F2N7O/c1-25-8-11(7-22-25)23-17-21-5-4-15(24-17)26-9-12-2-3-13(10-26)27(12)16(28)14-6-18(14,19)20/h4-5,7-8,12-14H,2-3,6,9-10H2,1H3,(H,21,23,24)/t12-,13+,14-/m0/s1";"False";"0";"['BREPOCITINIB', 'BREPOCITINIB', '1; PF-06700841']";"['BREPOCITINIB', 'BREPOCITINIB', 'Brepocitinib']"
"CHEMBL5314411";"EPITINIB";"EPITINIB|HMPL-813";"Small molecule";"1.0";"430.51";"None";"None";"3.53";"82.62";"6";"2";"0";"5";"N";"0.60";"11.65";"7.23";"3.01";"2.78";"3";"MOL";"0";"32";"8";"2";"0";"430.2117";"-1.95";"NEUTRAL";"C24H26N6O2";"C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4CCN(CC)CC4)cc23)c1";"DQAZPZIYEOGZAF-UHFFFAOYSA-N";"InChI=1S/C24H26N6O2/c1-4-17-7-6-8-18(13-17)27-23-19-14-21(22(32-3)15-20(19)25-16-26-23)28-24(31)30-11-9-29(5-2)10-12-30/h1,6-8,13-16H,5,9-12H2,2-3H3,(H,28,31)(H,25,26,27)";"False";"0";"['EPITINIB']";"['EPITINIB']"
"CHEMBL5314497";"ZIDESAMTINIB";"ZIDESAMTINIB";"Small molecule";"2.0";"419.46";"None";"None";"3.53";"96.67";"8";"1";"0";"1";"N";"0.51";"None";"5.70";"2.78";"2.77";"4";"MOL";"0";"31";"8";"2";"0";"419.1870";"-0.67";"NEUTRAL";"C22H22FN7O";"CCn1ncc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1-c1nn(C)nc1C2";"DTWUUAFTYSMNQX-GFCCVEGCSA-N";"InChI=1S/C22H22FN7O/c1-4-30-21-13(11-26-30)7-18-20(28-29(3)27-18)16-6-5-15(23)9-17(16)12(2)31-19-8-14(21)10-25-22(19)24/h5-6,8-12H,4,7H2,1-3H3,(H2,24,25)/t12-/m1/s1";"False";"0";"['ZIDESAMTINIB']";"['ZIDESAMTINIB']"
"CHEMBL4650323";"TOLEBRUTINIB";"PRN-2246|PRN2246|SAR-442168|SAR442168|TOLEBRUTINIB";"Small molecule";"3.0";"455.52";"5";"20";"3.91";"95.38";"7";"1";"0";"5";"N";"0.46";"None";"5.40";"3.41";"3.40";"4";"MOL";"0";"34";"8";"2";"0";"455.1957";"-0.59";"NEUTRAL";"C26H25N5O3";"C=CC(=O)N1CCC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1";"KOEUOFPEZFUWRF-LJQANCHMSA-N";"InChI=1S/C26H25N5O3/c1-2-23(32)29-16-6-7-19(17-29)30-22-14-15-28-25(27)24(22)31(26(30)33)18-10-12-21(13-11-18)34-20-8-4-3-5-9-20/h2-5,8-15,19H,1,6-7,16-17H2,(H2,27,28)/t19-/m1/s1";"False";"0";"['TOLEBRUTINIB', '8', '20', 'TOLEBRUTINIB', '30; SAR442168', 'PRN2246']";"['TOLEBRUTINIB', 'Tolebrutinib', 'Tolebrutinib', 'TOLEBRUTINIB', 'Tolebrutinib', 'Tolebrutinib']"
