smiles,chembl_id,fp_text,radius,nBits,tanimoto_score
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,OLMUTINIB,00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000001000000100000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000010000000000000000000000100000100000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000010000001100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000010000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000010000000000000000000000000000000000000000001000000100000001000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000100000000000000000000000000000000000000001000000001000000000000000000010000000001000000000000000001000000000000000000000000000000000000100000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2048,0.3218390804597701
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1.Cl.Cl,OLMUTINIB HYDROCHLORIDE,00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000001000000100000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000010000000000000000000000100000100000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000010000001100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000010000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000010000000000000100000000000000000000000000001000000100000001000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000100000000000000000000000000000000000000001000000001000000000000000000010000000001000000000000000001000000000000000000000000000000000000100000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2048,0.3181818181818182
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,ABIVERTINIB,00000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000001000000100000000000000010000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000010000000000000000000000100000100000000000010000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000001100010001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000110000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000001000000000000000000000000000000100000000000000000000000001000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000001000100000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000010000000001000000000000000001000000000000000000000000000000000000100001010000010000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2048,0.3010752688172043
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,POSELTINIB,00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100001000000000000000001000000100000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000100000100000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000010000001100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100001000000000000000001000000000000000000000000000000100000000100000000000000000000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000010000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000010000000000000000010000000000000000000000000000001000000001000100100000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000000010000000001000000000000000001000000000000000000000000000000000000100000010000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000,2,2048,0.3
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1.O.O.O=C(O)/C=C\C(=O)O,ABIVERTINIB MALEATE,00000000000000100000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000001000000100000000000000010000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000010000000000100000000000100000100000000000010000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000001100010001000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000110000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000001000000000000000000000000000000000000000000000000010000000000001000000000000000001000000000000000000000000000000100000000000000000000000001000000000000000000000000000000100000010000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000001000100000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010100000000000000000000000100000000000000000000000000000000000000000000000001000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001000010000000001000000000000000001000000000000000000000000000000000000100001010000010000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2048,0.2828282828282828
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,AUMOLERTINIB,00000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000001000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000100000100000000000000000000000010100000000000000000000000000000000000000000000000000000000000000010000000000000000000001010000000001000000000000000000000000000000000100000000000000000000000000101000000000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000100000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000000000000000100100000000000010000000000000000000000000000000000000000000000000010000000000100000000000000000100000000000000000100000000000000000000000010000000000000000000000000000000000000000010000000000100000001000000000000000000000000000000000000000100000001000000000000000000000001000000001000000000000010000000000000000000000000000000000000000001000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000001000000000010000001000001000000000000000000000000000000100000010000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000000000,2,2048,0.26
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,OSIMERTINIB,00000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000100000100000000000000000000000010100000000000000000001000000000000000000000000000000000000000000010000000000000000000000010000000001000000000000000000000000000000000100000000000000000000000000101000000000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000000000000000100100000000000010000000000000000000000000000000000000000000100000010000000000100000000000000000100000000000000000100000000000000000000000010000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000001000000000000000000000001000000001000000000000010000000000000000000000000000100000000000001000000000000010000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000001001000000000000000000000000000000000001000000000010000001000001000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000000000,2,2048,0.25773195876288657
COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,GOLIDOCITINIB,01000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000100000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010001010000000000010000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000100000000000010000000100000000000000000000000000000000000000000000000000000000000000000000001000000000000000000110000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000100000000000000000000000000000000000000000000100000000000001000000000000000001000000000000000000000000000100100000000000000000000000001000000000000000000000000000000100000010000000000000000000000000001000000000000000010000010000000000000000000010000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000001000000000001000000000000000000000000000010000000000100000000000000001000000000000000000000000000000000000000000000000010000010000000000000000100000001000000000001000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000001001000000000000000000000010000000000001000001000010000001000001000000000000000000000000000000000000010000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2048,0.25773195876288657
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN(C)C,REZIVERTINIB,00000000000001000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000100000100000000000000000000000010100000000000000000001000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000101000000000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000100000000000000000000000100000000010000000000100000000000000000000000000000000000000100000000000000000000000000000000000001100000000000000000000000000100100000000000000000000000000000000000000000000000000000000100000010000000000100000000000000000100000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000001000000001000000000000010000000000000000000000000000100000000000001000000000000010000010000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000001001000000000000000000010000000000000001000000000010000001000001000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000,2,2048,0.25773195876288657
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C.CS(=O)(=O)O,AUMOLERTINIB MESYLATE,00000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000001000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000101000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000100000100000000000000000000000010100000000000000000000000000000000000000000000000000000000000000010000000000000000000001010000000001001000000000000000000000000000000100000000000000000000000000101000000000000000000000000000000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000100000000000000000000000000000000000000000000100000000100000000000000000000000100000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000000000000000100100000000000010000000000000000000000000000000000000000000000000010000000000100000000000000000100000000000000000100000000000000000000000010000000000000000000000000000000000000000010000000000100000001000000000000000000000000000000000000000100000001000000000000000000000001000000001000000000000010000000000000000000000000000000000000000001000000000000000000010000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000001000000000010000001000001000000000000000000000000000000100000010000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000100000100000000000000000000000,2,2048,0.25
